Trial,Num_Cat,word,category,Trial_Cats,Trial_File,Rdy_Msg,Practice.thisRepN,Practice.thisTrialN,Practice.thisN,Practice.thisIndex,Trials.thisRepN,Trials.thisTrialN,Trials.thisN,Trials.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text.started,text.stopped,text_2.started,text_2.stopped,Stim_Word.started,Stim_Word.stopped,Categories.started,Categories.stopped,Trial_Name.started,Trial_Name.stopped,text_4.started,text_4.stopped,participant,session,date,expName,psychopyVersion,frameRate,
1,3,Aluminum,Metals,Distances  Metals  Relatives,,,0,0,0,0,,,,,,,,,44.55189042600068,None,46.05004617099985,None,46.400809529999606,None,46.400809529999606,None,,,,,1,001,2019_Jul_30_1405,KTT,3.1.5,59.52473640897455,
1,3,Iron,Metals,Distances  Metals  Relatives,,,0,1,1,1,,,,,,,,,,,,,47.884778010000446,None,47.884778010000446,None,,,,,1,001,2019_Jul_30_1405,KTT,3.1.5,59.52473640897455,
1,3,Aunt,Relatives,Distances  Metals  Relatives,,,0,2,2,2,,,,,,,,,,,,,49.385378885001046,None,49.385378885001046,None,,,,,1,001,2019_Jul_30_1405,KTT,3.1.5,59.52473640897455,
1,3,Father,Relatives,Distances  Metals  Relatives,,,0,3,3,3,,,,,,,,,,,,,50.885048070000266,None,50.885048070000266,None,,,,,1,001,2019_Jul_30_1405,KTT,3.1.5,59.52473640897455,
1,3,Daughter,Relatives,Distances  Metals  Relatives,,,0,4,4,4,,,,,,,,,,,,,52.38528244400004,None,52.38528244400004,None,,,,,1,001,2019_Jul_30_1405,KTT,3.1.5,59.52473640897455,
1,3,Father,Relatives,Distances  Metals  Relatives,,,0,5,5,5,,,,,,,,,,,,,53.884686332001365,None,53.884686332001365,None,,,,,1,001,2019_Jul_30_1405,KTT,3.1.5,59.52473640897455,
1,3,Inches,Distances,Distances  Metals  Relatives,,,0,6,6,6,,,,,,,,,,,,,55.38324588100113,None,55.38324588100113,None,,,,,1,001,2019_Jul_30_1405,KTT,3.1.5,59.52473640897455,
1,3,Daughter,Relatives,Distances  Metals  Relatives,,,0,7,7,7,,,,,,,,,,,,,56.88330915299957,None,56.88330915299957,None,,,,,1,001,2019_Jul_30_1405,KTT,3.1.5,59.52473640897455,
1,3,Miles,Distances,Distances  Metals  Relatives,,,0,8,8,8,,,,,,,,,,,,,58.383461270001135,None,58.383461270001135,None,,,,,1,001,2019_Jul_30_1405,KTT,3.1.5,59.52473640897455,
1,3,Aluminum,Metals,Distances  Metals  Relatives,,,0,9,9,9,,,,,,,,,,,,,59.88499376999971,None,59.88499376999971,None,,,,,1,001,2019_Jul_30_1405,KTT,3.1.5,59.52473640897455,
1,3,Iron,Metals,Distances  Metals  Relatives,,,0,10,10,10,,,,,,,,,,,,,61.37077635100104,None,61.37077635100104,None,,,,,1,001,2019_Jul_30_1405,KTT,3.1.5,59.52473640897455,
1,3,Aunt,Relatives,Distances  Metals  Relatives,,,0,11,11,11,,,,,,,,,,,,,62.88470112200048,None,62.88470112200048,None,,,,,1,001,2019_Jul_30_1405,KTT,3.1.5,59.52473640897455,
2,4,Red,Colors,Colors  Countries  Distances  Metals,,,0,12,12,12,,,,,,,,,,,,,64.38359554100134,None,64.38359554100134,None,,,,,1,001,2019_Jul_30_1405,KTT,3.1.5,59.52473640897455,
,,Miles,Distances,Distances  Metals  Relatives,Trial1.csv,Trial 1,,,,,0,0,0,0,0,0,0,0,,,,,227.779814249001,None,227.779814249001,None,222.22277901300004,None,222.22277901300004,222.8649776350012,1,001,2019_Jul_30_1405,KTT,3.1.5,59.52473640897455,
,,Inches,Distances,Distances  Metals  Relatives,Trial1.csv,Trial 1,,,,,0,0,0,0,0,1,1,1,,,,,229.28068580699983,None,229.28068580699983,None,,,,,1,001,2019_Jul_30_1405,KTT,3.1.5,59.52473640897455,
